kind,metric,thing,ts,val
network,events,Parsely,2017-07-10 01:15:00,636642
network,events,Parsely,2017-07-10 16:10:00,783137
network,events,Parsely,2017-07-10 04:25:00,496882
network,events,Parsely,2017-07-10 21:10:00,810594
network,events,Parsely,2017-07-10 14:00:00,695767
network,events,Parsely,2017-07-10 19:20:00,841267
network,events,Parsely,2017-07-10 04:20:00,511159
network,events,Parsely,2017-07-10 14:05:00,703777
network,events,Parsely,2017-07-10 08:55:00,252866
network,events,Parsely,2017-07-10 07:35:00,265391
network,events,Parsely,2017-07-10 00:35:00,614233
network,events,Parsely,2017-07-10 08:50:00,249360
network,events,Parsely,2017-07-10 07:30:00,264781
network,events,Parsely,2017-07-10 06:35:00,307904
network,events,Parsely,2017-07-10 16:45:00,811695
network,events,Parsely,2017-07-10 06:30:00,311720
network,events,Parsely,2017-07-10 23:40:00,689643
network,events,Parsely,2017-07-10 01:05:00,615608
network,events,Parsely,2017-07-10 04:45:00,453191
network,events,Parsely,2017-07-10 01:00:00,621022
network,events,Parsely,2017-07-10 15:05:00,735958
network,events,Parsely,2017-07-10 15:00:00,722749
network,events,Parsely,2017-07-10 22:50:00,712578
network,events,Parsely,2017-07-10 09:55:00,301497
network,events,Parsely,2017-07-10 11:55:00,529519
network,events,Parsely,2017-07-10 22:55:00,705578
network,events,Parsely,2017-07-10 11:50:00,515769
network,events,Parsely,2017-07-10 09:50:00,295509
network,events,Parsely,2017-07-10 05:25:00,384070
network,events,Parsely,2017-07-10 23:15:00,690766
network,events,Parsely,2017-07-10 12:10:00,574574
network,events,Parsely,2017-07-10 19:40:00,849845
network,events,Parsely,2017-07-10 16:05:00,780101
network,events,Parsely,2017-07-10 11:35:00,494110
network,events,Parsely,2017-07-10 23:10:00,699877
network,events,Parsely,2017-07-10 17:25:00,838218
network,events,Parsely,2017-07-10 21:00:00,803853
network,events,Parsely,2017-07-10 04:35:00,474782
network,events,Parsely,2017-07-10 17:20:00,821365
network,events,Parsely,2017-07-10 04:30:00,481842
network,events,Parsely,2017-07-10 05:30:00,378793
network,events,Parsely,2017-07-10 03:15:00,592770
network,events,Parsely,2017-07-10 08:20:00,258715
network,events,Parsely,2017-07-10 14:35:00,730369
network,events,Parsely,2017-07-10 08:25:00,256216
network,events,Parsely,2017-07-10 03:10:00,606945
network,events,Parsely,2017-07-10 14:30:00,725447
network,events,Parsely,2017-07-10 18:15:00,800596
network,events,Parsely,2017-07-10 06:40:00,307053
network,events,Parsely,2017-07-10 17:30:00,822697
network,events,Parsely,2017-07-10 06:45:00,300573
network,events,Parsely,2017-07-10 18:10:00,798218
network,events,Parsely,2017-07-10 17:45:00,814608
network,events,Parsely,2017-07-10 05:35:00,372164
network,events,Parsely,2017-07-10 21:35:00,801128
network,events,Parsely,2017-07-10 12:05:00,557461
network,events,Parsely,2017-07-10 12:00:00,529915
network,events,Parsely,2017-07-10 13:55:00,703818
network,events,Parsely,2017-07-10 17:40:00,819883
network,events,Parsely,2017-07-10 16:40:00,799744
network,events,Parsely,2017-07-10 14:25:00,727514
network,events,Parsely,2017-07-10 09:40:00,288502
network,events,Parsely,2017-07-10 16:00:00,773172
network,events,Parsely,2017-07-10 09:45:00,293843
network,events,Parsely,2017-07-10 23:00:00,678774
network,events,Parsely,2017-07-10 13:50:00,706311
network,events,Parsely,2017-07-10 00:40:00,620300
network,events,Parsely,2017-07-10 23:05:00,685935
network,events,Parsely,2017-07-10 00:45:00,621499
network,events,Parsely,2017-07-10 22:25:00,737219
network,events,Parsely,2017-07-10 04:00:00,484445
network,events,Parsely,2017-07-10 22:20:00,742752
network,events,Parsely,2017-07-10 04:05:00,506035
network,events,Parsely,2017-07-10 20:35:00,850985
network,events,Parsely,2017-07-10 10:15:00,337487
network,events,Parsely,2017-07-10 08:30:00,251200
network,events,Parsely,2017-07-10 03:05:00,616584
network,events,Parsely,2017-07-10 10:10:00,329095
network,events,Parsely,2017-07-10 03:00:00,620783
network,events,Parsely,2017-07-10 08:35:00,251649
network,events,Parsely,2017-07-10 15:40:00,783378
network,events,Parsely,2017-07-10 06:50:00,292131
network,events,Parsely,2017-07-10 18:05:00,788507
network,events,Parsely,2017-07-10 15:45:00,786137
network,events,Parsely,2017-07-10 12:15:00,570549
network,events,Parsely,2017-07-10 18:00:00,785918
network,events,Parsely,2017-07-10 06:55:00,283964
network,events,Parsely,2017-07-10 07:55:00,256175
network,events,Parsely,2017-07-10 20:30:00,852261
network,events,Parsely,2017-07-10 07:50:00,258247
network,events,Parsely,2017-07-10 00:55:00,633395
network,events,Parsely,2017-07-10 19:10:00,818778
network,events,Parsely,2017-07-10 20:20:00,879945
network,events,Parsely,2017-07-10 00:50:00,642345
network,events,Parsely,2017-07-10 19:15:00,819184
network,events,Parsely,2017-07-10 13:15:00,649911
network,events,Parsely,2017-07-10 08:05:00,255474
network,events,Parsely,2017-07-10 08:00:00,253968
network,events,Parsely,2017-07-10 02:00:00,694387
network,events,Parsely,2017-07-10 13:40:00,689524
network,events,Parsely,2017-07-10 02:05:00,682201
network,events,Parsely,2017-07-10 13:45:00,699552
network,events,Parsely,2017-07-10 23:20:00,694516
network,events,Parsely,2017-07-10 09:35:00,282637
network,events,Parsely,2017-07-10 17:50:00,814243
network,events,Parsely,2017-07-10 17:00:00,771799
network,events,Parsely,2017-07-10 19:30:00,833110
network,events,Parsely,2017-07-10 09:30:00,276915
network,events,Parsely,2017-07-10 17:05:00,780186
network,events,Parsely,2017-07-10 05:45:00,360579
network,events,Parsely,2017-07-10 21:20:00,814845
network,events,Parsely,2017-07-10 04:15:00,508531
network,events,Parsely,2017-07-10 03:30:00,536469
network,events,Parsely,2017-07-10 04:10:00,514544
network,events,Parsely,2017-07-10 21:25:00,798311
network,events,Parsely,2017-07-10 05:55:00,345287
network,events,Parsely,2017-07-10 07:20:00,281895
network,events,Parsely,2017-07-10 15:50:00,793971
network,events,Parsely,2017-07-10 18:30:00,803596
network,events,Parsely,2017-07-10 20:45:00,853424
network,events,Parsely,2017-07-10 19:25:00,844847
network,events,Parsely,2017-07-10 18:35:00,806060
network,events,Parsely,2017-07-10 15:55:00,783256
network,events,Parsely,2017-07-10 14:55:00,735097
network,events,Parsely,2017-07-10 05:40:00,362865
network,events,Parsely,2017-07-10 07:45:00,267842
network,events,Parsely,2017-07-10 14:50:00,744819
network,events,Parsely,2017-07-10 07:40:00,267474
network,events,Parsely,2017-07-10 11:40:00,505506
network,events,Parsely,2017-07-10 00:20:00,610288
network,events,Parsely,2017-07-10 23:50:00,671601
network,events,Parsely,2017-07-10 00:25:00,607479
network,events,Parsely,2017-07-10 06:05:00,336363
network,events,Parsely,2017-07-10 01:55:00,720531
network,events,Parsely,2017-07-10 23:25:00,688715
network,events,Parsely,2017-07-10 06:00:00,336386
network,events,Parsely,2017-07-10 01:50:00,733086
network,events,Parsely,2017-07-10 08:10:00,266515
network,events,Parsely,2017-07-10 03:25:00,554288
network,events,Parsely,2017-07-10 03:20:00,578020
network,events,Parsely,2017-07-10 08:15:00,259577
network,events,Parsely,2017-07-10 11:00:00,404853
network,events,Parsely,2017-07-10 02:10:00,705938
network,events,Parsely,2017-07-10 21:30:00,788677
network,events,Parsely,2017-07-10 11:05:00,421376
network,events,Parsely,2017-07-10 02:15:00,695194
network,events,Parsely,2017-07-10 09:25:00,271546
network,events,Parsely,2017-07-10 09:20:00,275013
network,events,Parsely,2017-07-10 15:35:00,780235
network,events,Parsely,2017-07-10 17:15:00,828054
network,events,Parsely,2017-07-10 10:30:00,362730
network,events,Parsely,2017-07-10 17:10:00,820570
network,events,Parsely,2017-07-10 10:35:00,375401
network,events,Parsely,2017-07-10 20:50:00,850972
network,events,Parsely,2017-07-10 20:40:00,856899
network,events,Parsely,2017-07-10 12:20:00,568917
